timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683250403329,4,vr,200,OK,Thread Group 1-1,text,true,,13617,123,1,1,http://localhost:3000/vr.html,4,0,2
1683250403334,10,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,10
1683250403344,4,vr,200,OK,Thread Group 1-1,text,true,,13617,123,1,1,http://localhost:3000/vr.html,4,0,2
1683250403349,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403352,3,vr,200,OK,Thread Group 1-1,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403355,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403358,3,vr,200,OK,Thread Group 1-1,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403361,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403364,2,vr,200,OK,Thread Group 1-1,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,1
1683250403366,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403369,4,vr,200,OK,Thread Group 1-1,text,true,,13617,123,1,1,http://localhost:3000/vr.html,4,0,1
1683250403373,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,4
1683250403377,4,vr,200,OK,Thread Group 1-1,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403381,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403384,2,vr,200,OK,Thread Group 1-1,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,1
1683250403386,3,vr,200,OK,Thread Group 1-2,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403386,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403389,4,vr,200,OK,Thread Group 1-1,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403390,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,4
1683250403394,3,vr,200,OK,Thread Group 1-2,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403393,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,4
1683250403397,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403397,2,vr,200,OK,Thread Group 1-1,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,1
1683250403400,1,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,1
1683250403400,2,vr,200,OK,Thread Group 1-2,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,0
1683250403402,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,2
1683250403404,2,vr,200,OK,Thread Group 1-2,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,1
1683250403407,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403410,4,vr,200,OK,Thread Group 1-2,text,true,,13617,123,1,1,http://localhost:3000/vr.html,4,0,1
1683250403414,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403417,3,vr,200,OK,Thread Group 1-2,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403420,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,2
1683250403423,3,vr,200,OK,Thread Group 1-2,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,1
1683250403426,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,2
1683250403428,3,vr,200,OK,Thread Group 1-2,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403431,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403432,3,vr,200,OK,Thread Group 1-3,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,1
1683250403435,2,vr,200,OK,Thread Group 1-2,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,0
1683250403435,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403437,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,4
1683250403438,3,vr,200,OK,Thread Group 1-3,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,0
1683250403441,4,vr,200,OK,Thread Group 1-2,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403442,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403445,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,4
1683250403445,4,vr,200,OK,Thread Group 1-3,text,true,,13617,123,1,1,http://localhost:3000/vr.html,4,0,1
1683250403449,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,4
1683250403454,3,vr,200,OK,Thread Group 1-3,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403457,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,4
